URLIn,httpStatus,URLOut,Content-Disposition,Content-Type
https://dspace.library.uu.nl/bitstream/1874/87/23/ref.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/87/ref.pdf;jsessionid=42CBA1FE114A87D0B8ED88FF400448E2?sequence=23,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/87/24/conclusions.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/87/conclusions.pdf;jsessionid=31155600CA53A0F22BFD4B9E5E224414?sequence=24,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/88/1/full.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/88/full.pdf;jsessionid=4A114C05C39ED297BE013B8C38EF7984?sequence=1,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/88/4/intr1.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/88/intr1.pdf;jsessionid=46E40E3C3E5A2BB8D54542482CEF1084?sequence=4,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/88/5/intr2.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/88/intr2.pdf;jsessionid=12152A5982F312C7C99ED3D382564BB9?sequence=5,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/88/6/inhoud.htm,200,https://dspace.library.uu.nl/bitstream/handle/1874/88/inhoud.htm;jsessionid=E4E092CF48014CDE61A94754EE104909?sequence=6,n/a,text/html;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/88/7/lexicon.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/88/lexicon.pdf;jsessionid=40638AF780DA4BBB6A2539C8F0FCA2F3?sequence=7,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/88/8/pref.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/88/pref.pdf;jsessionid=7FB9FFB757D2FCCC7CBA930028E07463?sequence=8,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/88/9/sam.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/88/sam.pdf;jsessionid=EABDB35FBC9E8A3349448BD06D956ADA?sequence=9,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/88/10/title.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/88/title.pdf;jsessionid=3AF19B233FEFC8CD3F12CE8C38474827?sequence=10,n/a,application/pdf;charset=ISO-8859-1
